Starter (=1),FULL NAME,TEAM,POS,ORTGOffensive RatingIndividual offensive rating is the number of points produced by a player per 100 total individual possessions.,DRTGDefensive RatingIndividual defensive rating estimates how many points the player allowed per 100 possessions he individually faced while staying on the court.,Win %
,,,,,,0.3536585366
1,Dewayne Dedmon,Atl,C,115.4,101.1,
,Isaac Humphries,Atl,C,87.1,106.7,
,Alex Len,Atl,C,112.8,104.6,
,Miles Plumlee,Atl,C,125.4,110,
,Tyler Zeller,Atl,C,82.4,74.1,
,Deyonta Davis,Atl,C,135.4,105.9,
,DeAndre' Bembry,Atl,F,97.2,106.2,
,BJ Johnson,Atl,F,112.2,110.5,
,Alex Poythress,Atl,F,116.8,102.8,
1,Taurean Prince,Atl,F,106.5,109.5,
,Omari Spellman,Atl,F,110.4,109.4,
1,John Collins,Atl,F,122.1,106.4,
,Jaylen Adams,Atl,G,99.5,108.1,
1,Kent Bazemore,Atl,G,98.2,106.3,
,Tyler Dorsey,Atl,G,95.7,110.5,
,Kevin Huerter,Atl,G,105.5,111.9,
,Jeremy Lin,Atl,G,112.5,109.1,
1,Trae Young,Atl,G,107.5,114.2,
,Justin Anderson,Atl,G,103.1,106.9,
,Vince Carter,Atl,G,111.7,107.7,
,Daniel Hamilton,Atl,G,90.7,107.7,
,,,,,,0.5975609756
,Robert Williams III,Bos,C,133.5,96.7,
1,Jaylen Brown,Bos,F,104.7,101.9,
1,Gordon Hayward,Bos,F,114.4,106.4,
,Marcus Morris,Bos,F,110.5,102.5,
,Semi Ojeleye,Bos,F,106.3,106.7,
1,Jayson Tatum,Bos,F,107,104.2,
,Daniel Theis,Bos,F,128.9,93,
,Guerschon Yabusele,Bos,F,108.4,99.1,
,Aron Baynes,Bos,F,118.7,95.4,
1,Al Horford,Bos,F-C,122.2,104.7,
,RJ Hunter,Bos,G,131.3,101.2,
1,Kyrie Irving,Bos,G,117.9,104,
,Terry Rozier,Bos,G,106.3,105.7,
,Marcus Smart,Bos,G,113,102.3,
,Brad Wanamaker,Bos,G,118.1,102.4,
,PJ Dozier,Bos,G-F,112.8,105.6,
,,,,,,0.512195122
1,Jarrett Allen,Bro,C,123.8,101.5,
,Ed Davis,Bro,C,129.1,91.4,
1,DeMarre Carroll,Bro,F,110.2,105.7,
,Mitchell Creek,Bro,F,145.4,104,
,Jared Dudley,Bro,F,110.2,102.7,
,Treveon Graham,Bro,F,99.6,104.1,
1,Rondae Hollis-Jefferson,Bro,F,98.8,102.1,
,Rodions Kurucs,Bro,F,102.5,100.6,
,Kenneth Faried,Bro,F-C,120.7,103.3,
,Alan Williams,Bro,F-C,128.4,91.5,
,Spencer Dinwiddie,Bro,G,114.2,104.9,
,Caris LeVert,Bro,G,105.2,105.4,
,Tahjere McCall,Bro,G,107.8,88.8,
,Shabazz Napier,Bro,G,108.8,106.4,
1,D'Angelo Russell,Bro,G,106.8,107,
1,Allen Crabbe,Bro,G-F,100.5,104.5,
,Joe Harris,Bro,G-F,119,106.2,
,Dzanan Musa,Bro,G-F,75,109.9,
,Theo Pinson,Bro,G-F,93.9,105.1,
,,,,,,0.4756097561
,Bismack Biyombo,Cha,C,122,100.5,
,Willy Hernangomez,Cha,C,118.5,100.6,
,Miles Bridges,Cha,F,111.5,108.2,
,Michael Kidd-Gilchrist,Cha,F,115.8,101.7,
1,Marvin Williams,Cha,F,112.7,107.2,
,Frank Kaminsky,Cha,F-C,115.5,106.2,
1,Cody Zeller,Cha,F-C,123.7,100.3,
,Joe Chealey,Cha,G,86.2,107.5,
,Devonte' Graham,Cha,G,104,109.6,
1,Jeremy Lamb,Cha,G,113.5,107.7,
,Shelvin Mack,Cha,G,47.3,109.5,
,J.P. Macura,Cha,G,81.3,116.5,
,Malik Monk,Cha,G,99.7,107.8,
,Tony Parker,Cha,G,105.8,112.5,
1,Kemba Walker,Cha,G,112.3,111.3,
,Dwayne Bacon,Cha,G-F,114.3,107.2,
1,Nicolas Batum,Cha,G-F,112.6,109.4,
,,,,,,0.2682926829
1,Robin Lopez,Chi,C,113.8,111.3,
,Wendell Carter Jr.,Chi,F,107.9,100.7,
,Chandler Hutchison,Chi,F,102.1,109.2,
1,Lauri Markkanen,Chi,F,107.4,106.9,
1,Jabari Parker,Chi,F,100.6,106.9,
,Otto Porter Jr.,Chi,F,115.2,110.1,
,Bobby Portis,Chi,F,105.6,102.9,
,JaKarr Sampson,Chi,F,123.4,108.1,
,Cristiano Felicio,Chi,F-C,116.8,106.6,
,Rawle Alkins,Chi,G,93.4,112.5,
,Ryan Arcidiacono,Chi,G,121.3,108.4,
,Antonio Blakeney,Chi,G,94.6,113.2,
1,Kris Dunn,Chi,G,98.9,103.2,
,Shaquille Harrison,Chi,G,101.3,105.7,
,Justin Holiday,Chi,G,103.7,110,
1,Zach LaVine,Chi,G,106.2,110.7,
,Walter Lemon Jr.,Chi,G,98.8,105.7,
,Cameron Payne,Chi,G,99.7,108.2,
,Brandon Sampson,Chi,G,98.6,109,
,Timothe Luwawu-Cabarrot,Chi,G-F,101.4,105.5,
,Wayne Selden,Chi,G-F,94.1,108.8,
,,,,,,0.2317073171
,Ante Zizic,Cle,C,116.2,108.1,
,Deng Adel,Cle,F,85.3,115.7,
,Jaron Blossomgame,Cle,F,107.8,115.3,
,Marquese Chriss,Cle,F,96.6,99.7,
,Sam Dekker,Cle,F,114.1,109.2,
,Jalen Jones,Cle,F,111.1,106.2,
,Larry Nance Jr.,Cle,F,120.4,104.5,
,Cedi Osman,Cle,F,106.9,111.9,
,Channing Frye,Cle,F-C,104.2,106.4,
1,Kevin Love,Cle,F-C,112.4,105.9,
1,Tristan Thompson,Cle,F-C,118,110.1,
,Alec Burks,Cle,G,107.3,112.7,
,Jordan Clarkson,Cle,G,107.5,116.2,
,Matthew Dellavedova,Cle,G,107.8,112.1,
,Andrew Harrison,Cle,G,97,101.6,
1,George Hill,Cle,G,115.8,110.9,
1,Rodney Hood,Cle,G,113.3,112.6,
,Brandon Knight,Cle,G,106.1,113.3,
,Patrick McCaw,Cle,G,51.9,119.7,
,David Nwaba,Cle,G,114.8,108,
,Cameron Payne,Cle,G,114.5,110.8,
,Collin Sexton,Cle,G,101.8,114.8,
,Nik Stauskas,Cle,G,112,115.2,
