Starter (=1),FULL NAME,ORTGOffensive RatingIndividual offensive rating is the number of points produced by a player per 100 total individual possessions.,DRTGDefensive RatingIndividual defensive rating estimates how many points the player allowed per 100 possessions he individually faced while staying on the court.,TEAM,POS,Win %
,,,,,,0.3536585366
1,Dewayne Dedmon,115.4,101.1,Atl,C,
1,Taurean Prince,106.5,109.5,Atl,F,
1,John Collins,122.1,106.4,Atl,F,
1,Kent Bazemore,98.2,106.3,Atl,G,
1,Trae Young,107.5,114.2,Atl,G,
,Deyonta Davis,135.4,105.9,Atl,C,
,BJ Johnson,112.2,110.5,Atl,F,
,Alex Poythress,116.8,102.8,Atl,F,
,Jeremy Lin,112.5,109.1,Atl,G,
,Vince Carter,111.7,107.7,Atl,G,
,,,,,,0.5975609756
1,Al Horford,122.2,104.7,Bos,F-C,
1,Jaylen Brown,104.7,101.9,Bos,F,
1,Gordon Hayward,114.4,106.4,Bos,F,
1,Jayson Tatum,107,104.2,Bos,F,
1,Kyrie Irving,117.9,104,Bos,G,
,Robert Williams III,133.5,96.7,Bos,C,
,Daniel Theis,128.9,93,Bos,F,
,Aron Baynes,118.7,95.4,Bos,F,
,RJ Hunter,131.3,101.2,Bos,G,
,Brad Wanamaker,118.1,102.4,Bos,G,
,,,,,,0.512195122
1,Jarrett Allen,123.8,101.5,Bro,C,
1,DeMarre Carroll,110.2,105.7,Bro,F,
1,Rondae Hollis-Jefferson,98.8,102.1,Bro,F,
1,D'Angelo Russell,106.8,107,Bro,G,
1,Allen Crabbe,100.5,104.5,Bro,G-F,
,Ed Davis,129.1,91.4,Bro,C,
,Mitchell Creek,145.4,104,Bro,F,
,Jared Dudley,110.2,102.7,Bro,F,
,Tahjere McCall,107.8,88.8,Bro,G,
,Joe Harris,119,106.2,Bro,G-F,
,,,,,,0.4756097561
1,Cody Zeller,123.7,100.3,Cha,F-C,
1,Marvin Williams,112.7,107.2,Cha,F,
1,Jeremy Lamb,113.5,107.7,Cha,G,
1,Kemba Walker,112.3,111.3,Cha,G,
1,Nicolas Batum,112.6,109.4,Cha,G-F,
,Bismack Biyombo,122,100.5,Cha,C,
,Miles Bridges,111.5,108.2,Cha,F,
,Michael Kidd-Gilchrist,115.8,101.7,Cha,F,
,Devonte' Graham,104,109.6,Cha,G,
,Dwayne Bacon,114.3,107.2,Cha,G-F,
,,,,,,0.2682926829
1,Robin Lopez,113.8,111.3,Chi,C,
1,Lauri Markkanen,107.4,106.9,Chi,F,
1,Jabari Parker,100.6,106.9,Chi,F,
1,Kris Dunn,98.9,103.2,Chi,G,
1,Zach LaVine,106.2,110.7,Chi,G,
,Cristiano Felicio,116.8,106.6,Chi,F-C,
,Wendell Carter Jr.,107.9,100.7,Chi,F,
,JaKarr Sampson,123.4,108.1,Chi,F,
,Ryan Arcidiacono,121.3,108.4,Chi,G,
,Timothe Luwawu-Cabarrot,101.4,105.5,Chi,G-F,
,,,,,,0.2317073171
1,Kevin Love,112.4,105.9,Cle,F-C,
1,Tristan Thompson,118,110.1,Cle,F-C,
1,George Hill,115.8,110.9,Cle,G,
1,Rodney Hood,113.3,112.6,Cle,G,
1,JR Smith,91.3,110.8,Cle,G-F,
,Ante Zizic,116.2,108.1,Cle,C,
,Jalen Jones,111.1,106.2,Cle,F,
,Larry Nance Jr.,120.4,104.5,Cle,F,
,David Nwaba,114.8,108,Cle,G,
,Cameron Payne,114.5,110.8,Cle,G,
,,,,,,0.4024390244
1,DeAndre Jordan,121.4,100,Dal,C,
1,Harrison Barnes,106,109.5,Dal,F,
1,Wesley Matthews,109,107.5,Dal,G-F,
1,Luka Doncic,106.9,105.1,Dal,G-F,
1,Dennis Smith Jr.,96.6,104.4,Dal,G,
,Dwight Powell,135.7,100.1,Dal,F-C,
