Rk,Player,,2018-19
1,Stephen Curry,curryst01,37457154.00 
2,LeBron James,jamesle01,35654150.00 
3,Russell Westbrook,westbru01,35654150.00 
4,Chris Paul,paulch01,35654150.00 
5,Blake Griffin,griffbl01,32088932.00 
6,Gordon Hayward,haywago01,31214295.00 
7,Kyle Lowry,lowryky01,31200000.00 
8,Paul George,georgpa01,30560700.00 
9,Mike Conley,conlemi01,30521116.00 
10,James Harden,hardeja01,30431854.00 
11,Kevin Durant,duranke01,30000000.00 
12,Paul Millsap,millspa01,29730769.00 
13,Al Horford,horfoal01,28928710.00 
14,Damian Lillard,lillada01,27977689.00 
15,DeMar DeRozan,derozde01,27739975.00 
16,Chris Bosh,boshch01,26837720.00 
17,Otto Porter Jr.,porteot01,26011913.00 
18,Jrue Holiday,holidjr01,25976111.00 
19,CJ McCollum,mccolcj01,25759766.00 
20,Carmelo Anthony,anthoca01,25534253.00 
21,Andrew Wiggins,wiggian01,25467250.00 
22,Joel Embiid,embiijo01,25467250.00 
23,Bradley Beal,bealbr01,25434263.00 
24,Andre Drummond,drumman01,25434263.00 
25,Anthony Davis,davisan02,25434263.00 
26,Hassan Whiteside,whiteha01,25434263.00 
27,Nikola Jokic,jokicni01,24605181.00 
28,Steven Adams,adamsst01,24157304.00 
29,Giannis Antetokounmpo,antetgi01,24157304.00 
30,Kevin Love,loveke01,24119025.00 
31,Marc Gasol,gasolma01,24119025.00 
32,Harrison Barnes,barneha02,24107258.00 
33,Chandler Parsons,parsoch01,24107258.00 
34,Nicolas Batum,batumni01,24000000.00 
35,Rudy Gobert,goberru01,23241573.00 
36,Kawhi Leonard,leonaka01,23114067.00 
37,DeAndre Jordan,jordade01,22900000.00 
38,LaMarcus Aldridge,aldrila01,22347015.00 
39,Serge Ibaka,ibakase01,21666667.00 
40,Aaron Gordon,gordoaa01,21590909.00 
41,Danilo Gallinari,gallida01,21587579.00 
42,Victor Oladipo,oladivi01,21000000.00 
43,Jimmy Butler,butleji01,20445779.00 
44,Ryan Anderson,anderry01,20421546.00 
45,Kyrie Irving,irvinky01,20099189.00 
46,Jabari Parker,parkeja01,20000000.00 
47,Zach LaVine,lavinza01,19500000.00 
48,Tyler Johnson,johnsty01,19245370.00 
49,John Wall,walljo01,19169800.00 
50,George Hill,hillge01,19000000.00 
51,Jeff Teague,teaguje01,19000000.00 
52,Klay Thompson,thompkl01,18988725.00 
53,Dwight Howard,howardw01,18919725.00 
54,Wesley Matthews,matthwe02,18622514.00 
55,Enes Kanter,kanteen01,18622514.00 
56,Joakim Noah,noahjo01,18530000.00 
57,Allen Crabbe,crabbal01,18500000.00 
58,Goran Dragic,dragigo01,18109175.00 
59,Kent Bazemore,bazemke01,18089887.00 
60,Evan Turner,turneev01,17868852.00 
61,Draymond Green,greendr01,17469565.00 
62,Tristan Thompson,thomptr01,17469565.00 
63,Tim Hardaway Jr.,hardati02,17325000.00 
64,Reggie Jackson,jacksre01,17043478.00 
65,Evan Fournier,fournev01,17000000.00 
66,Bismack Biyombo,biyombi01,17000000.00 
67,Derrick Favors,favorde01,16900000.00 
68,Jonas Valanciunas,valanjo01,16539326.00 
69,Gary Harris,harriga01,16517857.00 
70,Timofey Mozgov,mozgoti01,16000000.00 
71,Andre Iguodala,iguodan01,16000000.00 
72,Ian Mahinmi,mahinia01,15944154.00 
73,Dennis Schroder,schrode01,15500000.00 
74,DeMarre Carroll,carrode01,15400000.00 
75,Clint Capela,capelca01,15293104.00 
76,Gorgui Dieng,dienggo01,15170787.00 
77,Pau Gasol,gasolpa01,15100000.00 
78,Eric Bledsoe,bledser01,15000000.00 
79,Trevor Ariza,arizatr01,15000000.00 
80,Ricky Rubio,rubiori01,14975000.00 
81,Tobias Harris,harrito02,14800000.00 
82,JR Smith,smithjr01,14720000.00 
83,James Johnson,johnsja01,14651700.00 
84,Brandon Knight,knighbr03,14631250.00 
85,Robin Lopez,lopezro01,14357750.00 
86,Luol Deng,denglu01,14354067.00 
87,Marvin Williams,willima02,14087500.00 
88,Taj Gibson,gibsota01,14000000.00 
89,Jeremy Lin,linje01,13768421.00 
90,Thaddeus Young,youngth01,13764045.00 
91,Kenneth Faried,farieke01,13764045.00 
92,Tyson Chandler,chandty01,13585000.00 
93,Marcin Gortat,gortama01,13565218.00 
94,Cody Zeller,zelleco01,13528090.00 
95,Eric Gordon,gordoer01,13500375.00 
96,Joe Ingles,inglejo01,13045455.00 
97,Khris Middleton,middlkh01,13000000.00 
98,Michael Kidd-Gilchrist,kiddgmi01,13000000.00 
99,Mason Plumlee,plumlma01,12917808.00 
100,Wilson Chandler,chandwi01,12800562.00 
101,Nikola Vucevic,vucevni01,12750000.00 
102,Jordan Clarkson,clarkjo01,12500000.00 
103,Nikola Mirotic,mirotni01,12500000.00 
104,Miles Plumlee,plumlmi01,12500000.00 
105,Tyreke Evans,evansty01,12400000.00 
106,Courtney Lee,leeco01,12253780.00 
107,Solomon Hill,hillso01,12252928.00 
108,J.J. Redick,redicjj01,12250000.00 
109,Kelly Olynyk,olynyke01,12137527.00 
110,Kentavious Caldwell-Pope,caldwke01,12000000.00 
111,Avery Bradley,bradlav01,12000000.00 
112,Austin Rivers,riverau01,12000000.00 
113,Kemba Walker,walkeke02,12000000.00 
114,Will Barton,bartowi01,11830358.00 
115,T.J. Warren,warretj01,11750000.00 
116,Zach Randolph,randoza01,11692308.00 
117,Marcus Smart,smartma01,11660716.00 
118,Patty Mills,millspa02,11571429.00 
119,Dion Waiters,waitedi01,11550000.00 
120,Alec Burks,burksal01,11536515.00 
121,John Henson,hensojo01,11327466.00 
122,Ömer A??k,asikom01,11286516.00 
123,Jusuf Nurkic,nurkiju01,11111111.00 
124,Iman Shumpert,shumpim01,11011234.00 
125,Maurice Harkless,harklma01,10837079.00 
126,Tony Snell,snellto01,10607143.00 
127,Meyers Leonard,leoname01,10595506.00 
